,Axis1,Axis2,Axis3
618,1.51879883,1.00439454,1.16577149
619,1.68920899,-1.875,-0.73632813
620,0.21582032,-1.19628907,1.43579102
621,-1.875,-1.20385743,1.25244141
622,-1.875,-0.90698243,-1.99707032
623,1.94702149,-1.41503907,1.25463868
624,-1.875,0.6760254,1.93310547
625,1.55957032,0.91723633,1.7421875
626,1.78857422,1.1171875,1.74121094
627,1.79931641,0.94458008,1.76904297
628,-1.77001954,1.03930665,1.85278321
629,1.63330079,1.06933594,1.78759766
630,1.63769532,1.0913086,1.81469727
631,1.63085938,1.08935547,1.80566407
632,1.59936524,1.09936524,1.80273438
633,1.58691407,1.07983399,1.80761719
634,1.5756836,1.11865235,1.80200196
635,-1.77954102,1.02929688,-1.76025391
636,1.59472657,0.72094727,1.87451172
637,1.61791993,1.36621094,1.82763672
638,0.43701172,-1.875,1.52636719
639,-1.875,-1.875,1.54248047
640,0.40722657,1.46191407,1.98657227
641,-1.95458985,1.51489258,-1.60986329
642,1.95092774,0.98559571,-1.92626954
643,1.47436524,1.14379883,1.50488282
644,1.28076172,0.84863282,1.12280274
645,-1.875,-1.875,-1.23266602
646,-1.875,0.19628907,-0.75097657
647,-1.875,-0.69018555,-1.89794922
648,1.07397461,-1.75219727,1.3413086
649,1.26953125,1.4897461,1.44921875
650,1.43286133,0.63598633,1.39941407
651,1.61938477,1.13525391,-1.76708985
652,1.67114258,1.17041016,1.69799805
653,1.69873047,1.17797852,-1.7644043
654,1.64379883,1.05761719,1.78295899
655,1.64428711,1.08203125,1.78613282
656,1.6315918,1.12182618,1.77172852
657,1.58618165,1.0744629,1.77148438
658,1.77026368,1.1928711,1.73632813
659,1.6015625,1.11108399,1.78466797
660,1.5546875,1.08618165,1.79003907
661,1.43969727,1.00610352,1.79077149
662,1.5065918,0.69873047,-1.76245118
663,1.91625977,-1.796875,-1.98876954
664,0.67797852,0.01391602,1.4260254
665,1.46166993,-1.875,1.15966797
666,0.86743165,1.55981446,-1.84814454
667,1.85839844,1.02441407,-1.62182618
668,1.75122071,1.01074219,1.8557129
669,1.44628907,1.42114258,1.23583985
670,1.38891602,0.87817383,1.17480469
671,-1.875,-1.875,-1.54833985
672,-1.875,0.37695313,-0.65087891
673,-1.875,-1.61865235,1.48779297
674,0.4819336,-0.1147461,-1.39233399
675,-1.83764649,-0.0197754,1.69653321
676,-1.88574219,1.59667969,-1.62329102
677,1.55932618,1.00097657,1.80395508
678,1.64672852,1.06469727,-1.76708985
679,1.58935547,1.15771485,1.76928711
680,1.6237793,1.08496094,1.79516602
681,1.61254883,1.06347657,1.80371094
682,1.70483399,1.19384766,-1.76367188
683,1.62011719,1.06372071,1.79052735
