Label,Label,Axis1,Axis2,Axis3,date_hour,date_minute,date_second
CZ,3,15.262886,-1.8155531,-0.9923966,17,41,43
CZ,3,5.494543,-6.493823,0.712275,17,41,42
CZ,3,1.752406,-10.472986,4.9667716,17,41,42
CZ,3,19.21332,2.505981,-8.297106,17,41,42
CZ,3,17.738491,-8.2415905,-3.5446155,17,41,42
CZ,3,11.824813,-2.7373207,-2.9580362,17,41,42
CZ,3,10.237457,-1.0230724,-1.2270284,17,41,42
CZ,3,9.873538,-1.2888287,-1.9500773,17,41,42
CZ,3,10.598981,-2.3135471,-2.3355439,17,41,42
CZ,3,8.686014,-2.241721,-3.525462,17,41,42
CZ,3,4.2998366,-6.716484,-4.1240125,17,41,42
CZ,3,16.790386,-19.706823,18.87469,17,41,42
CZ,3,19.718496,19.519178,-12.4390745,17,41,42
CZ,3,15.528643,-1.9903297,-0.2717419,17,41,42
CZ,3,6.739528,-4.3845315,0.5446809,17,41,42
CZ,3,1.5896003,-7.6214924,4.298789,17,41,41
CZ,3,15.59568,-0.1755249,-8.562862,17,41,41
CZ,3,17.96594,-10.238355,-1.389834,17,41,41
CZ,3,12.681937,-1.9424458,-2.5222914,17,41,41
CZ,3,9.8855095,-0.34311903,-1.365892,17,41,41
CZ,3,10.048315,-1.2050316,-1.8207904,17,41,41
CZ,3,10.807277,-1.5186721,-1.9835961,17,41,41
CZ,3,7.6421423,-3.7979522,-1.2629414,17,41,41
CZ,3,1.5800235,-12.050765,-6.7504516,17,41,41
CZ,3,19.718496,-19.706823,19.092562,17,41,41
CZ,3,19.718496,16.820913,-18.309658,17,41,41
CZ,3,13.206267,-4.023007,-0.2908955,17,41,41
CZ,3,5.774665,-5.337424,1.8567034,17,41,40
CZ,3,4.9989433,-3.5752914,-3.05141,17,41,40
CZ,3,16.847847,-1.173907,-7.8158712,17,41,40
CZ,3,17.353024,-8.473828,-2.6850972,17,41,40
CZ,3,12.210279,-2.5769093,-2.9364884,17,41,40
CZ,3,9.94297,-0.16115971,-0.49200845,17,41,40
CZ,3,10.168025,-1.3295301,-1.5837644,17,41,40
CZ,3,10.086622,-1.743727,-1.827973,17,41,40
CZ,3,7.1441483,-5.0046296,-0.8367735,17,41,40
CZ,3,1.4100351,-12.1106205,-2.7569232,17,41,40
CZ,3,16.88376,-19.706823,19.092562,17,41,40
CZ,3,19.718496,19.519178,-11.759122,17,41,40
CZ,3,14.350696,-3.7045782,-0.7410054,17,41,39
CZ,3,5.0228853,-5.054908,0.60693014,17,41,39
CZ,3,1.8577509,-11.696424,-1.3467385,17,41,39
CZ,3,19.21332,0.9473557,-9.2787285,17,41,39
CZ,3,16.783205,-8.052448,-4.4184995,17,41,39
CZ,3,12.361114,-1.8514661,-2.6683378,17,41,39
CZ,3,9.883115,-1.5402199,-1.8255788,17,41,39
CZ,3,10.158448,-0.841113,-2.0913353,17,41,39
CZ,3,10.891074,-2.4619875,-2.1583729,17,41,39
CZ,3,9.504831,-0.6998551,-4.1024647,17,41,39
CZ,3,4.922329,-4.6024036,-2.6276364,17,41,39
CZ,3,6.2942066,-6.884078,9.685743,17,41,38
CZ,3,19.718496,19.519178,-9.903615,17,41,38
CZ,3,15.787216,-2.1291935,-3.3482912,17,41,38
CZ,3,6.0763345,-3.9535751,-1.0283096,17,41,38
CZ,3,1.4507366,-9.5392475,4.413711,17,41,38
CZ,3,14.724191,0.011222821,-5.687426,17,41,38
CZ,3,17.264439,-9.098715,-2.1990743,17,41,38
CZ,3,11.980435,-1.2888287,-2.4408886,17,41,38
CZ,3,10.479271,-0.11566987,-2.3331497,17,41,38
CZ,3,9.981277,-1.5162779,-1.7944542,17,41,38
CZ,3,10.184784,-2.5529673,-2.586935,17,41,38
CZ,3,11.669189,-1.5474025,-4.203021,17,41,38
CZ,3,10.270976,1.7781436,-4.1814733,17,41,38
CZ,3,0.67740947,19.519178,-20.13344,17,41,37
CZ,3,12.212673,19.519178,-8.859743,17,41,37
CZ,3,19.718496,-0.7118261,1.2413936,17,41,37
CZ,3,7.0100727,-3.0222306,-0.36990416,17,41,37
CZ,3,-1.2211925,-5.018995,-0.3172317,17,41,37
CZ,3,4.7858596,-3.8482304,-5.105635,17,41,37
CZ,3,12.279711,-8.174553,-0.8607155,17,41,37
CZ,3,13.337948,-1.4157214,-2.1583729,17,41,37
CZ,3,10.955717,0.032770637,-1.1288661,17,41,37
CZ,3,10.457724,-0.66394204,-1.5023615,17,41,37
CZ,3,9.904663,-2.5002947,-2.1320367,17,41,37
CZ,3,9.662848,-4.734085,-1.2198458,17,41,37
CZ,3,11.214292,-2.277634,-1.887828,17,41,37
CZ,3,19.718496,13.430723,8.948329,17,41,37
CZ,3,12.760945,19.519178,-15.458163,17,41,37
CZ,3,19.718496,-1.9496284,-4.653131,17,41,37
CZ,3,8.252664,-3.1156046,-0.8511387,17,41,37
CZ,3,-0.99374336,-1.9639935,0.075417355,17,41,36
CZ,3,5.3197665,-3.1539118,-7.0784574,17,41,36
CZ,3,11.934946,-3.8578072,0.2645593,17,41,36
