Label,Axis1,Axis2,Axis3,time
3,9.873538,-1.7940053,-1.7729063,63686
3,7.5344033,-3.1467292,-1.0929531,63686
3,1.4507366,-10.532842,1.6005238,63686
3,11.815236,-19.568558,9.056067,63686
3,19.718496,19.519178,-16.164454,63686
3,14.417733,-4.8968906,-3.4488475,63687
3,4.8959928,-4.391714,-2.5893292,63687
3,2.5879824,-1.102081,-5.3522377,63687
3,7.6349597,3.291279,-3.879804,63687
3,11.760169,-3.0389903,-1.1312603,63687
3,12.643629,-0.1539771,-0.5327099,63687
3,10.445752,0.9617209,-0.80325466,63687
3,10.383503,-0.48916534,-0.712275,63687
3,10.515184,-1.066168,-0.5758055,63687
3,10.950929,-3.8697782,-1.4137762,63687
3,16.321123,-5.473893,-2.7449522,63687
3,19.718496,10.684574,14.364013,63687
3,15.722573,15.827319,-14.4454155,63687
3,18.542942,-4.746056,-10.401609,63687
3,4.6996684,-3.6471174,-3.2381577,63687
3,13.457658,-4.607192,-1.1815386,63688
3,12.502372,-0.4436755,-1.2437878,63688
3,10.390686,0.6097732,-0.61411273,63688
3,9.593416,0.05431845,-1.9716251,63688
3,10.479271,0.05431845,-0.073023155,63688
3,9.29893,0.49485156,0.18555063,63688
3,4.5919294,-0.9823709,1.1528081,63688
3,4.0963297,-16.094572,7.004237,63688
3,19.718496,19.519178,-14.56752,63688
3,11.906216,-1.9592052,-2.469619,63689
3,9.377938,-1.2433388,-1.9309237,63689
3,10.127323,-0.9033622,-1.7178397,63689
3,10.565462,-2.608034,-2.0027497,63689
3,9.720309,-1.042226,-4.935647,63689
3,8.039579,-4.094833,1.2366052,63689
3,19.086426,-7.774721,7.217321,63689
3,19.718496,19.519178,-12.343307,63689
3,15.677083,-2.9767408,-3.0178912,63689
3,4.1442137,-2.3183355,-1.9788077,63689
3,-0.00015,-2.1435587,-2.1703439,63689
3,8.355615,-1.6000749,-3.3985693,63689
3,3.9000049,-2.8785787,1.2126632,63690
3,11.108946,0.30092123,-3.807978,63690
3,16.867,-4.4659343,-4.0186677,63690
3,11.31006,-1.3678373,-2.0242975,63690
3,10.517578,-0.829142,-1.4329298,63690
3,9.490466,-1.9400516,-1.8710686,63690
3,8.602217,-3.1610944,-0.20231004,63690
3,9.006837,-4.743662,-0.5470751,63690
3,4.232799,-4.985476,4.2293572,63690
3,15.796793,-4.164265,4.5382094,63690
3,19.718496,2.1923406,-5.222951,63690
3,9.023597,-3.879355,-0.59495914,63690
3,1.3549685,-0.888997,0.7194576,63690
3,2.0780175,-4.963928,-3.1878796,63690
3,11.235839,1.6344916,-2.8862102,63690
3,17.027412,-4.5425487,-4.212598,63690
3,10.697144,-1.1140519,-16.779762,63691
3,19.232473,-7.650223,-2.1703439,63691
3,11.393856,-1.4444518,-2.4863784,63691
3,10.213515,-1.2170026,-1.2270284,63691
3,9.667637,-1.9017444,-1.5717934,63691
3,9.076269,-2.244115,-0.8750807,63691
3,6.8544497,-4.863372,0.053869538,63691
3,4.517709,-2.6607063,5.4551888,63691
3,18.921227,-6.491429,0.18315643,63691
3,19.718496,2.1468508,-10.107122,63691
3,9.392303,-4.173842,-0.18315643,63691
3,2.1546319,-2.8378773,1.7441759,63691
3,5.860856,-6.7787333,-3.4225113,63692
3,18.578856,-19.706823,19.092562,63692
3,19.718496,15.530438,-13.763068,63692
